#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.019289743778870
   28 20 17  4 15   144
   27  9 16  7 34   136
   26 15 20  6  4   113
   26  8 21  6 24   196
   25 11 10 12 19   351
   25 39  6 12 35   153
   25 26 30  0 39   243
   25 14  9 15  6   125
   25 13  8 14 27   157
   25 16 10 10 13   201
   25 17 11 15  0   126
   25  7 12 12  6   169
   26 10 14 15  0   109
   25  3 14 12 16   133
   26  2 15 12 14   213
   25  1 13 14 26   218
   26 11  9 14 27   143
   25 11 11 12 27   115
   27 11 12 13 11   114
   25 15 12  9 22   127
   27 13 14  8 22   130
   25  0 16  4 39   132
   25 12 11  8 37   223
   25 12 13  8 36   128
   25 10 13 10 27   378
   25  9 12  9 35   242
   25  5 19  5 37   131
   25 39  7 12 33   162
   26 13 10 12 28   156
   27 13 12  9 34   172
   25 16 11  9 26   181
   25  2 13 15 14   202
   25 39  1 17  2   204
   25  3 33  2 39   138
   25 23 15  4 16   154
   25 11 21  3 35   195
   25  6 25  3 36   346
   24  9 15 17 35   245
   29 11 11 17 32   174
   25  5 17 10  9   210
   25  2 17 10 22   205
   25 11 14 14 14   180
   25 13 15  9 13   167
   25 16 13  9 11   177
   25 18 13  8 16   152
   25 39 11  8 22   166
   24 39  4 18  4   165
   24 18 17  6 34   215
   25 20 17  4 33   145
   25 24 17  3 27   158
   25 21 18  4 22   182
   25 18 18  6 22   176
   25 15 15  9 13   163
   24  0 26  6 37   164
   25  3 16  7 38   149
   26  9 15  9 36   183
   24 12 12  9 38   139
   24  2 18  9 38   148
   27  5 16 11 35   216
   25 17 18  4 39   289
   26 12 14  8 38   160
   25  2 18 10 35   193
   25 19 15  4 39   150
   25  2 19 11 11   171
   25  4 20  7 33   184
   24  2 17 14 33   225
   28  2 18 12 26   151
   27  2 21 13  0   304
   26  1 18 13 26   214
   25  4 17 17  4   200
   24 17 11  9 34   465
   27 16  9  9 38   185
   26 15  8 13 35   192
   25 17 15  9 11   203
   25 10 14 14 34   499
   25 14 14  8 34   189
   24  0 25  6 38   191
   26 15 20  3 39   301
   24  2 20 12 11   175
   24 15 20  4 39   190
   24 13 21  4 34   147
   24 17 21  3 37   270
   26 21 19  3 32   173
   24 16 12  6 38   137
   25 16 16  6 36   146
   24  1 20 10 22   168
   24  1 39  5  0   186
   24 25 17  3 27   282
   24 19 15  8  8   283
   24 19 15  6 35   217
   24 20 14  6 35   194
   24 14 12  9 37   244
   24 17 21  6  4   226
   23 12 10 18 24   227
   24 12 12 17 29   206
   24 39  9 13 28   198
   24  5 16 18  0   219
   24 12 12 14 35   295
   23 39 11 13 36   365
   27  5 16 12 36   391
   27 15 12 14 25   296
   26 39 11 15 30   237
   26 10 15 13 36   248
   24  1 19 10 37   178
   25  3 19  9 38   288
   24 39 12  6 36   260
   23 13 17  7 39   478
   24  8 20  6 36   408
   23  1 20 14 23   197
   23 25 19  2 36   238
   24 26 20  2 24   235
   23 21 12  6 39   357
   23  3 20  9 30   258
   23 21 23  2 35   313
   23 20 20  3 33   291
   23 14 19  6 28   221
   23 13 15  9 22   232
   24 13 13  9 38   312
   24 14 14  9 36   259
   24 11 14 17 30   220
   23  1 21 13  2   224
   23 21 24  2 30   290
   23 21 14  6 32   211
   23 25 15  9  0   303
   23  1 24  4 39   222
   23 22 16  4 32   277
   23  1 23  8  1   233
   23 39 19  0 39   188
   23 39 17  2 38   230
   25 29 19  2 24   229
   23 22 14  4 37   231
   23 39 14  3 38   228
   24 39 13  4 39   251
   23 25 16  4 16   187
   23 19 20  4 16   236
   23 20 19  4 30   246
   24 17 21  4 34   273
   23 17 21  6  8   399
   22 11 10 18 34   368
   22  0 11 13 37   284
   22  0 25 10 35   249
   24  0 21 13 16   454
   24  0 22 12 13   261
   23  0 23 10 36   267
   23  3 25  7 37   455
   23  4 21  9 31   453
   22  8 17  9 39   265
   24 10 16 10 36   452
   25 14 16  8 27   591
   24 17  9  9 39   501
   24 13 16  8 39   726
   23  4 17 12 36   347
   22  1 32  6 25   352
   28  3 30  4 38   456
   24  2 34  6  9   393
   24  3 29  5 38   506
   23  3 31  3 39   253
   22 17 21  6 36   372
   23 13 20  6 38   285
   22 19 17  6 39   297
   25 21 20  3 37   332
   22 18 15  8 33   292
   24 17 14  9 25   286
   25 17 12 14 28   475
   23 15 12 13 36   479
   22 21 16  6 39   356
   22  2 16 17 34   353
   22 19 14  9 21   447
   22 14 12 16 29   234
   23 39 10 16 29   257
   22 14 13 16 24   338
   24 14 13 13 36   247
   24 13 14 12 36   299
   22 17 17  7 34   358
   22  2 29  8  0   256
   22 39 14  4 37   305
   22  2 30  6 30   466
   22 14 14 10 37   467
   22 14 14  9 39   411
   22 20 13 11 12   564
   23 17 13 14 20   518
   22 15 16  9 15   321
   22  1 20 15  5   278
   22 19 19  4 39   682
   22 19 18  6 38   275
   22 20 18  6 36   276
   22 21 18  6 33   255
   22 24 17  4 27   252
   22 39 16  4 18   472
   22 28 17  3 22   263
   22  0 39  2 39   254
   23  3 34  3 38   262
   22 17 28  1 39   271
   22  9 16 12 36   266
   22  3 25  8 34   386
   22  3 34  5 26   264
   22 16 16 11  5   274
   23 13 15 12 29   250
   22 15  8 18 29   487
   22  8 14 18  2   310
   22 22 13  6 35   239
   22 39 13  6 26   272
   22  1 19 13 26   269
   21  2 19 20 34   268
   27  6 13 20 24   280
   25  3 18 21  0   461
   23  2 19 12 36   281
   22  4 18 18 17   331
   22  6 15 18 34   343
   21 13 14 14 38   859
   26  9 16 12 38   323
   23  2 19 12 37   369
   23  9 15 14 38   293
   22 13 14 17 30   854
   22 13 10 19 30   307
