#
# Version TT_2.0
#

#  Parameter thresholds:
    0.001562500000000    0.001575211391707    1.087121212121212    0.017191781140921
   26  6  7 13 30   116
   25 10  5 16 34   141
   27 10  6 13 32   275
   26 10  7 13 29   130
   26  8  9 12 24   156
   25  6 11  9 37   129
   25  7  7  7 39   131
   25 19 10  6 35   145
   28 18 12  4 34   182
   27 14 14  4 37   124
   26 17 11  6 28   144
   26 16 10  7 25   252
   26 14 14  4 38   139
   25 20 19  2 39   181
   26 15 11  4 39   183
   26  6 11  7 39   127
   25  1 18  9 16   192
   25  2 19  6 30   163
   25  0 27  5 27   165
   25 12 13  6 26   132
   25  6  7 12 34   125
   25  7 12  7 38   153
   26 11 12  7 33   166
   25 12  6 11 26   155
   26 12  8 12 13   191
   26 15 10  8 13   152
   25  2 14 11 14   126
   25  2 12 12 24   151
   25  2 11 14 24   221
   25  2 11 16  6   122
   24 39  3 18 17   185
   26  2 12 17  6   140
   24 10  8  9 38   228
   28 15 10  6 38   159
   25  6 11  9 38   157
   25 12 11  6 39   169
   24  6  7 13 35   170
   24  2 14 14 29   168
   28  1 10 13 33   288
   25 10  9 12 29   167
   26 10 10 13 11   186
   26  9 11 10 29   286
   26 10 12  8 33   343
   25 14 10  9 11   158
   26 39  6  9 38   226
   25  2 14 17  5   216
   25 39  6 12 35   161
   24  1 16 13 26   146
   26  2 19 13  0   175
   24 14 10  9 33   147
   26 16  8 10 29   162
   26 11 11  8 37   218
   25 11 12  8 37   342
   25  9 10 12 32   194
   24  0 24  6 27   219
   24 17 15  4 27   142
   25 18 14  4 32   347
   24 22 12  4 31   180
   25 39 10  6 36   193
   24 39  0 21  0   497
   24  1 15 14 29   164
   24  1 17  9 28   176
   24 17 12  6 26   160
   24  1  9 14 34   230
   25 39  6 14 34   263
   24  6 23  3 35   184
   24 15 11  9 15   278
   24 18 11  6 34   224
   24 13  8 12 32   277
   25 39  7 12 35   239
   24 21 13  4 27   276
   24  0 18 11 11   197
   24  1 16 10 31   148
   24  1 15 13 30   154
   24 10 14  7 13   187
   25  5 19  6 24   205
   24  3 16  6 36   210
   25  8 14  7 35   199
   25  9 16  6 24   316
   24 14 16  6 21   212
   26 17 14  6 21   232
   24 17 14  6 34   410
   24 12 15  6 34   195
   25 14 16  4 37   204
   24  1 34  5  2   214
   25  3 31  3 27   201
   24  1 29  4 37   213
   25  0 20  6 36   188
   24  3 19  6 37   202
   25 12 14  5 39   243
   24  3 14  6 39   548
   24  0 22  6 35   300
   24  2 18 14  1   301
   24 16  8 12 32   369
   23  3 14  9 39   227
   27  8 12  9 39   225
   27  3 16  8 37   348
   26  1 16 10 34   250
   25 15 12  9 13   178
   24  2 17  9 35   261
   24 13 12  8 33   240
   23  1 15 14 35   233
   24  1 17 10 35   298
   23 14 18  4 39   406
   24 17 18  3 34   294
   24  3 29  4 38   295
   24 14 18  6  8   231
   23  2 13 16 16   279
   27 10  6 16 29   217
   24  2 13 17 13   229
   23  1  9 16 34   299
   26 10  7 16 32   246
   23  8 11 10 36   549
   23 25 16  2 35   177
   23 39  6 15 35   206
   23 24 14  3 27   487
   24 19 15  4 29   417
   23  5 14 12 28   173
   23  1 17 12 23   280
   23  0 20  6 38   215
   24  2 15  9 38   287
   23  6 14 10 35   289
   25 13 13  9 13   223
   23  2 14 15 23   209
   23 14 13 14  0   241
   23  2 27  7  1   190
   23 18 13  3 39   220
   23  8 13 10 35   247
   23 10 19  4 34   207
   23 16 21  2 39   355
   23 13  8  9 38   234
   23  9 14  8 35   307
   23 39  7 13 32   304
   22 13 10 20 32   203
   26  6  7 17 34   222
   25 16  8 16 32   196
   25 15  9 15 32   245
   25 14 10 20 24   208
   24  3 15 18  0   308
   24 10 11 17 11   257
   23 39  4 21  4   351
   23  9 14 12 11   211
   23  4 16 13 17   198
   23  9 14 10 33   200
   22 14 11 13 36   171
   25  2 15 12 36   260
   24 12 11 17 32   541
   25  2 13 16 25   373
   24 12 12 12 23   251
   22 39  6 18 35   324
   23  9  9 16 35   242
   22  1 18 14 23   259
   22  3 26  6 38   366
   24  2 31  6 20   540
   24  2 34  6  9   377
   23  1 30  6 27   371
   22  1 23 10 32   404
   24  2 19 12 15   296
   24  3 24  7 35   539
   24  1 19 10 34   570
   24  1 20 13  3   374
   23  2 19 14  8   248
   22 39  9 12 35   264
   24 17 11  9 15   319
   22 17 12  9 34   349
   23 16 10 15 32   302
   24 16 11 14 23   266
   24 19 11 12  9   235
   23 10 14  9 35   283
   23 19 10 12 25   258
   22  1 18 10 36   262
   22  2 17  8 39   253
   22 14 14  8 20   268
   22 12 12  9 38   291
   22 18  9  8 38   272
   25 39 10  6 39   284
   22  3 22  6 39   282
   22  3 14 17 17   498
   23  2 14 16 26   309
   22  2 13 17 30   269
   22  3 13 18 22   353
   22  2 13 20 16   344
   23 12 11 20 15   323
   23  1 14 20  5   271
   22  3 33  3 39   265
   22  7 18  6 34   244
   22  1  8 18 35   306
   22  3 23  8 32   422
   22 19 18  3 21   270
   22  2 17  9 38   489
   22 21 29  0 39   267
   22  2 20 12 13   352
   22 19 21  2 34   310
   22 24 15  3 27   256
   22 17 11 12 34   254
   22 39 12  3 36   584
   22 24 14  4 13   640
   22 19 13  4 37   418
   22 19 11  9 25   281
   22 39 11  4 39   255
   21  2 17 14 38   273
   25  9  7 14 38   542
   25  2 18 12 36   327
   23 12 11 12 37   405
   22 10  5 11 39   311
   21  9  7 23 24   292
   25 10  7 24  3   297
   24  2  5 25  1   403
   23  2 15 22  0   378
   21 17 16  6 39   382
   24 19 16  4 37   545
   23 18 18  4 37   434
   23 11 14  8 38   590
   22 12 18  6 39   571
   24 15 18  6 25   432
   21  2 28  8 32   573
   21  2  4 25 11   320
   21  1 21 12 32   322
   22  2 19 12 35   408
   21 15 19  6 34   312
   21  8  7 24 17   330
   21  2 20  8 39   551
   22  2 19  9 38   363
   21  2 26  8 37   359
   21  2 23 10 36   454
   23  1 21 12 36   332
   21 39 11  6 34   430
   21  2 23 13  2   433
   24  1 23 15  0   455
   21  1 28 15  0   372
   23  1 28 12  1   375
   22  2 32 10  1   321
   23  0 30  8 19   318
   23  1 39  9  0   559
   22  2 33  8  8   317
   21  0 23 12 14   328
   23  1 27 12  3   293
   22  1 24 12 10   325
   21  2 24  9 36   446
   21 18 12  6 37  1025
   21  1 21 14  5   772
   22  1 24 13  5   491
   21 20 10  9 25   623
   21 12 13 12 16   395
   21 14  9 13 37   550
   22 39  7 13 38   326
   21 20 16  6  1   407
   22 19 13  6 22   678
   21 19 13  6 34   345
   21 13 14 10 15   506
   22 11 14 12 20   391
   21 18 14  6 37  1444
   21 19 16  5 34   314
   21  9 23  4  9   354
   22  6 20  6 39   274
   21 15  8 20 32   285
   21  1 29 13  1   313
   21 16 26  1 39   425
   21  2 18 13 31   445
   21  3 35  3 39   488
   20  1 19 20 33   512
   27  1 16 18 34   335
   22  1 23 20  0   305
   23  1 29 17  0   499
   22  1 15 18 35   315
   24  2 19 15 35   513
   22  9 10 18 35   339
   22  2 16 22  1   338
   21  1 21 14 35   388
   24  0 22 13 20   329
   21  2 19 17 34   333
   21 12 11 18 32   533
   21  1 20 22  0   331
   21  2 17 22  2   671
   21  2 18 13 37   427
   20 39  3 22 33   337
   24  9  7 22 31   334
   23 39  3 23 27   536
   20  1 21 18 32   443
   21  0 22 15 19   290
   20 17 14  9 35   386
   23 16 13  9 36   303
   21 22 14  7  4   340
   21 15 14 10 23   336
   22 15 12 12 23   420
   20 22 12  6 39   376
   22 23 14  6 11   435
   21 25 15  2 39   437
   20  0 24 15 14   413
   22  2 24 10 36   358
   20  2 27 10 32   381
   22  1 32 10  8   409
   22  2 26 10 36   690
   22  1 29 12  6   543
   21  0 27 12 12   370
   21  2 28  9 32   397
   21  0 29  9 26   660
   20  1 23 20  5   357
   20  0 26 14 14   341
   20 19 16  6 35   414
   20  0 20 20 32   399
   20 24 18  2 34   415
   22 26 28  0 39   411
   20 12 12 12 37   362
   22 16 12 12 31   494
   22  4 16 12 37   365
   20 18  9 16 29   368
   20  2  3 28  0   379
   20 20 18  3 33   364
   20 19 19  3 39   356
   20 18 19  6 31   436
   21 17 19  6 35   461
   20  2 19 14 37   572
   22  2 20 11 38   555
   22  2 26 10 37   495
   20 19 16  6 39   400
   20 22 13  6 26   502
   20 12  7 21 33   574
   21 11 11 17 35  1155
   20  2 30 10 14   475
   21  2 28 10 33   778
   20  4 22 16  0   641
   20 25 17  2 39   493
   20 15 10 20 24   775
   20 23 14  6 17   510
   20 20 14  7 19   361
   20 12 20  6  9   490
   20 17 20  6  5   773
   20 12 14  9 38   346
   20 30 19  0 39   503
   20  7 38  3  3   509
   21 13 25  2 39   394
   20 19 22  2 29   774
   20  5 35  3 26   501
   21  6 25  4 38   459
   20  4 26  6 38   649
   20 18  9  9 38   508
   20 39  9 12 37   412
   20 16 10 12 38   814
   20  7 11 14 38   384
   20 16  9 14 38   684
   21 15  9 18 34   500
   21 15 11 14 36   492
   20  1 30 17  0   390
