#
# Version TT_2.0.1
#

#  Parameter thresholds:
    0.000437508494989    0.000695958681429    1.171568627450981 -178.500000000000000
   30 17 21  0 14    92
   29 21 16  0 19    45
   29  8 16 10 11   320
   29 18 21  2  5   270
   29 27 20 15  0    97
   29 23 17 13  4   111
   28 15 13  5 20   109
   30 15 15  3 20    99
   30 39  9  4 20   110
   30  8 16  2 20   127
   28 17 15  6 19   108
   29 21 16  6 17    74
   28 23 13 12  9   145
   28 18 15  9 13   103
   28 39 12 10 12    98
   28 11  8 12 11    88
   28 15 18  4 16   126
   32 12 19  6  9   214
   30 15 18  6 10   199
   30  9 18  6 12   207
   29  5 22 12  7   130
   29  6 20  4 11   389
   29 10 19 11  8   197
   29 12 18  7 11   185
   28 23 16  6 16   157
   28  7 21  2 17   560
   29  7 24  2 12   158
   28 25 19  2  5   163
   29 22 19  0  9   139
   28 23 19  3  8   159
   32 18 18  4 12   128
   31 18 18  7 10   513
   30 19 19  2 11   135
   29 22 18  1 14   160
   28 17 20  2 14   112
   29 21 20  1 10   514
   28 17 16  1 20   136
   29 23 14  0 20   182
   28 10 20  7  8    93
   28 18 23  6  5   209
   30 19 19  4 10   208
   31 22 20 12  4   140
   29 24 19  6  5   229
   29 24 16  6 11   222
   29 26 20 14  2   138
   29 15 22  6  6   148
   28 10 32  2  6   216
   28  7 19  8 10   217
   29  5 20  6 11   241
   28 39  9  5 20   637
   28 22 15  8 16   172
   27 17 21  9 19   223
   34 10 22  9 11   230
   31  9 24  9 10   134
   31 20 13  9 17   133
   31 18 12  9 19   170
   31 18 23  9  6   224
   31 18 20 11  8   165
   30  6 23  0 20   198
   30  1 25  2 13   174
   29  2 24  5 12   129
   29 23 12  9 17   142
   29  1 30  0 16   252
   28 21 16  8 18   132
   29 39 12  9 18   180
   28 39 11  9 19   179
   28  9 32  3  8   231
   27 23 17 16  9   104
   33  2  4 13 11   420
   31 39  0 18  6   181
   29  2 10 13 11   141
   29 18 20 12  9   201
   29 18 19  7 12   125
   28 23 19 12  7   239
   28 24 17  9  8   426
   28 39  0 24  6   227
