#
# Version TT_2.0.5beta
#

#  Parameter thresholds:
    0.000003366210175    0.001512401693890    1.077935222672065    0.025367402581773
   34 40 30 15 29   174
   33 35 23 19 30   136
   33 26 33 13 33   126
   32 49 26 10 38   106
   32 30 27 15 38   105
   32 26 33 13 35   161
   33 42 28 13 35   162
   32 35 23 25 16   111
   32 29 21 21 38   116
   32 25 16 18 45   143
   32 32 39 15 13   144
   32 25 43 25  2   150
   32 30 26 18 22   123
   32 15 30 17 32   121
   32 18 28 21 29   155
   32 49 30 20 10   302
   32 49 26 25 10   139
   33 15 30 23 17   151
   32 39 35 21  5   141
   31 12 15 25 43   135
   32 19 18 24 34   138
   32 25 24 24 30   158
   31 21 21 25 37   160
   31 21 14 27  3   142
   31 22 20 23 43   134
   32 23 15 21 47   226
   31 32 21 15 43   124
   33 30 27 10 43   185
   32 29 22 18 42   189
   31 21 28 23 21   128
   32 29 36 18 13   140
   32 12 35 23 14   137
   32 12 45 27  3   190
   31 19 20 15 49   148
   31 49 30  1 49   127
   31 49 29  4 44   133
   31 49  9 34  0   146
   31  0 28 19 48   145
   31 29 24 18 42   167
   31 21 25 20 42   229
   31 20 28 20 35   262
   31 39 22 25 20   149
   31 40 24 21 25   220
   30 40 12 27 18   163
   33 40  0 26 22   259
   30  9  9 29  4   170
   30 41 34  4 46   153
   31 31 36  6 38   152
   31 29 31 13 42   169
   31 39 32 10 37   159
   31 49 34  5 42   154
   30 29 28 18 42   225
   30 25 29 12 46   217
   31 28 30  9 46   183
   30 40 30 17 23   168
   32 32 27 18 38   178
   31 40 27 19 31   216
   33 28 29 21 26   177
   33 27 26 23 31   156
   32 32 33 21 14   269
   32 35 29 21 26   215
   30 39 29 23 17   171
   30 38 38 23  5   179
   31 45 48 11  7   172
   30  1 33 19 39   186
   30  2 33 17 45   213
   30 43 35  8 35   193
   30 39 32 13 35   303
   30 28 23 15 46   166
   30 21 15 25 43   165
   30 23 44  4 46   164
   30 12 34 27  5   180
   30 15 25 27 13   194
   30 29 40 12 27   210
   30 26 25 24 30   195
   30 40 37 18  8   208
   29 12 21 23 46   175
   30 15 15 25 44   311
   30  5 28 21 45   201
   29 33 32 21 23   207
   30  2 31 21 45   202
   29 31 25 27 13   257
   29 42 35 12 32   261
   31 40 37 13 23   199
   30 34 33 18 23   306
   31 34 36 18 18   200
   31 30 38 15 27   182
   31 27 35 18 26   258
   29 10 34 27 13   204
   33 33 29 24 17   198
   31 12 30 25 21   224
   29 40  0 27 22   243
   29 31 27 20 35   230
   30 32 29 19 32   181
   30 28 29 18 42   384
   31 26 30 19 38   203
   32 31 32 16 34   246
   30 40 30 18 31   232
   29  6 30 23 34   223
   31  2 29 25 30   288
   30 29 27 24 24   231
   30 34 28 23 25   214
   30 31 26 23 32   289
   29  5 33 25 27   192
   29 49 32  2 49   265
   29 29 33 12 40   191
   29 39 35 26  2   197
   29 42 28 16 35   173
   29 49 20 19 32   184
   29 22 49 11 27   227
   29 42 37  6 38   205
   29 28 24 20 42   176
   29 28 21 22 42   304
   30 29 25 22 37   196
   29 26 23 24 36   270
   29 36 35 13 34   285
   30 30 34 16 34   308
   29 31 33 18 34   307
   29 43 35 15 18   281
   29 30 31 16 39   233
   29 39 30 16 36   228
   29 49 26 16 38   264
   29 26 30 15 44   218
   29 21 23 15 49   206
   29 33 25 23 34   266
   29 38 29 21 29   277
   28 26  6 29 35   263
   30 18 10 27 29   253
   30 26  2 26 38   272
   31 20  2 27 37   239
   29 31 22 27 20   305
   30 18 13 27 28   244
   31  7 12 27 35   438
   29 18 19 27 24   252
   29 10 26 27 22   242
   30 39 25 27 17   241
   29 14 29 29  2   235
   28 40 31 11 43   249
   29 39 29 10 46   260
   31 33 22 15 47   211
   30 49 34  6 45   222
   29 49 22 16 44   247
   29 22 23 21 45   287
   29 49 31 15 36   274
   29 32 30 18 40   254
   28 33 32 24 17   209
   29 33 32 25 15   276
   29 17 30 27 18   245
   29 38 27 27 15   284
   28 49 30 15 42   278
   28 22 42 13 32   255
   29  2 37 13 45   268
   28 22  5 25 45   250
   28 41 35 18 14   236
   29 37 34 18 25   221
   30 49 35 15 24   237
   29 49 36 17 13   212
   29 31 36 16 29   240
   30 33 37  9 38   248
   30 35 36 13 36   238
   28 33 28 29  2   271
   28 33 33 21 24   251
   28 49 34 13 35   273
   28 38 29 16 42   234
   28 38 34 15 36   453
   28 37 34 16 34   286
   28 34 22 27 22   373
   28 40 36 18 20   372
   28 22 19 23 46   374
   27 14 24 30 30   312
   34 22 21 29 21   363
   33 13 13 29 35   435
   32 25  6 30 34   314
   31 49  9 33  2   322
   30 42 25 28 14   398
   29 25 22 27 30   341
   30 22 21 29 28   282
   29  1 10 32  3   298
   29  0 30 29 14   280
   28 46 24 29 12   370
   28 25 14 27 34   310
   30  9 22 28 33   432
   28 12 16 27 37   256
   28 33 35 30  1   321
   28 14 32 25 26   323
   27 38  5 32 11   326
   27 13 14 26 42   429
   27  7 15 27 42   403
   27 10 22 25 45   290
   27 35 42 21  7   338
   28 33 34 21 22   275
   28 28 39 25  6   291
   28 19 35 23 19   320
   28 29 36 21 20   313
   28 45 37 21  6   296
   27  8 38 21 27   295
   28 29 37 21 22   329
   27 49  6 35  1   293
   27 43 42 11 19   294
   28 37 42 15 19   267
   27  1  9 31 12   297
   27  0 30 19 48   283
   27 26 25 26 26   324
   27 20 32 28 12   309
   27  9 18 30 33   279
   27  1 29 23 39   292
   27 12 17 27 40   331
   27 36 28 15 44   409
   28 33 29 17 43   330
   27  4 37 15 45   356
   27 20 38 17 31   364
   28 21 39 21 23   335
   27 32 44 18 11   440
   27 34 37 12 37   439
   27 10 23 24 45   360
   27 34 36 20 22   339
   27 37 39  6 37   749
   27 18 45  7 42   317
   27 16 37 23 20   543
   27 10 37 25 16   352
   27 21 17 24 45   325
   27 45 42 14 11   334
   27  8 37 23 27   441
   27 39 26 23 30   318
   27 39 32 13 40   344
   26 25  3 32 30   349
   27  1 10 32 17   336
   26 17 17 21 49   316
   26 41 38  6 46   299
   27 30 37 12 40   431
   27  4 34  9 49   382
   27 38 35 13 38   348
   26 18 32 31  4   347
   28 13 15 32  7   333
   27  1 25 31 11   340
   27 39 33 31  1   350
   27 38 28 28 10   376
   26 29 28 24 29   400
   27 27 19 29 27   530
   27 32 28 23 32   379
   28 24 29 20 41   517
   27 28 24 24 34   450
   28  2 29 25 33   332
   28  1 27 24 39   368
   28  7 25 24 45   385
   27 28 25 24 36   371
   27 22 28 23 37   375
   27 33 29 21 35   544
   26 20 17 27 40   456
   27 25 22 27 33   359
   26 14 15 29 38   454
   26 31 32 21 30   433
   27 16 31 23 34   369
   26 29 32 24 27   342
   30 29 31 23 34   430
   27 27 30 25 26   377
   27 38 29 25 18   387
   27 34 27 24 27   345
   26 25  3 31 32   343
   26 40 35 20 19   319
   26 37 30 23 28   337
   27 39 32 23 19   410
   26 35 28 27 18   414
   26 40 36 21 19   346
   26 41 31 16 37   315
   26 13 25 27 33   366
   26 49 45 23  0   386
   26  9 40  8 48   460
   28 21 28 11 49   361
   26 25 27 12 49   353
   27 23 21 18 49   354
   26 27 21 16 49   391
   26 49 30  9 49   365
   28 32 39  5 49   501
   26 36 28 15 47   469
   26 24 26 21 43   413
   26 44 38  3 43   328
   26 43 38 13 26   351
   26 35 39 12 38   327
   27  0 38 15 46   463
   27 36 43 10 27   411
   26  0 31 19 49   539
   26 37 39 12 37   427
   27 43 38 13 31   434
   27 37 36 15 36   545
   26 30 40 15 32   397
   26 23 39 18 31   419
   26 16 44 15 33   395
   26 41 36 24  4   442
   26 10  6 30 35   380
